Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2026-08-14,21:30,Galatasaray,2–2,Yeni Çorumspor,43706,RAMS Park,Batuhan Kolak,Match Report,
1,Sat,2026-08-15,19:00,Kasımpaşa,1–1,Trabzonspor,,Recep Tayyip Erdoğan Stadyumu,Gürcan Hasova,Match Report,
1,Sat,2026-08-15,19:00,Konyaspor,0–1,Rizespor,,Konya Büyükşehir Stadı,Cihan Aydın,Match Report,
1,Sat,2026-08-15,21:30,Gençlerbirliği,2–1,Fenerbahçe,,Eryaman Stadyumu,Oğuzhan Aksu,Match Report,
1,Sat,2026-08-15,21:30,Gaziantep,1–1,Alanyaspor,,Gaziantep Stadyumu,Yasin Kol,Match Report,
1,Sun,2026-08-16,19:00,Başakşehir,2–0,Kocaelispor,,Başakşehir Fatih Terim Stadium,Mehmet Türkmen,Match Report,
1,Sun,2026-08-16,21:30,Beşiktaş,1–0,Eyüpspor,30929,Tüpraş Stadyumu,Oğuzhan Çakir,Match Report,
1,Sun,2026-08-16,21:30,Amedspor,3–0,Erzurum BB,,Diyarbakır Yeni Stadyumu,Halil Umut Meler,Match Report,
1,Mon,2026-08-17,21:30,Samsunspor,3–3,Göztepe,,Yeni 19 Mayıs Stadyumu,Kadir Sağlam,Match Report,
,,,,,,,,,,,
2,Fri,2026-08-21,21:30,Erzurum BB,0–4,Galatasaray,19099,Kazım Karabekir Stadyumu,Çağdaş Altay,Match Report,
2,Sat,2026-08-22,19:00,Yeni Çorumspor,0–1,Kasımpaşa,,Çorum Şehir Stadyumu,Fatih Tokail,Match Report,
2,Sat,2026-08-22,19:00,Rizespor,0–2,Samsunspor,,Çaykur Didi Stadyumu,Ömer Faruk Turtay,Match Report,
2,Sat,2026-08-22,21:30,Fenerbahçe,4–2,Konyaspor,,Chobani Stadyumu Fenerbahçe Şükrü Saraco...,Atilla Karaoğlan,Match Report,
2,Sun,2026-08-23,19:00,Trabzonspor,2–1,Başakşehir,,Papara Park Stadyumu,Ali Şansalan,Match Report,
2,Sun,2026-08-23,19:00,Eyüpspor,0–1,Gaziantep,,Necmi Kadıoğlu Stadyumu,Reşat Onur Coşkunses,Match Report,
2,Sun,2026-08-23,21:30,Alanyaspor,1–0,Beşiktaş,,GAİN Park Stadyumu,Adnan Deniz Kayatepe,Match Report,
2,Sun,2026-08-23,21:30,Göztepe,0–1,Gençlerbirliği,,Gürsel Aksel Stadyumu,Batuhan Kolak,Match Report,
2,Mon,2026-08-24,21:30,Kocaelispor,2–0,Amedspor,23065,Yıldız Entegre Kocaeli Stadyumu,Umit Öztürk,Match Report,
,,,,,,,,,,,
3,Fri,2026-08-28,21:30,Gençlerbirliği,1–1,Erzurum BB,15171,Eryaman Stadyumu,Umit Öztürk,Match Report,
3,Sat,2026-08-29,19:00,Konyaspor,1–2,Kocaelispor,,Konya Büyükşehir Stadı,Gürcan Hasova,Match Report,
3,Sat,2026-08-29,21:30,Galatasaray,3–2,Göztepe,,RAMS Park,Mehmet Türkmen,Match Report,
3,Sat,2026-08-29,21:30,Gaziantep,1–2,Rizespor,,Gaziantep Stadyumu,Batuhan Kolak,Match Report,
3,Sun,2026-08-30,19:00,Eyüpspor,2–1,Alanyaspor,,Necmi Kadıoğlu Stadyumu,Cihan Aydın,Match Report,
3,Sun,2026-08-30,21:30,Samsunspor,0–2,Fenerbahçe,12794,Yeni 19 Mayıs Stadyumu,Yasin Kol,Match Report,
3,Sun,2026-08-30,21:30,Başakşehir,1–1,Kasımpaşa,,Başakşehir Fatih Terim Stadium,Halil Umut Meler,Match Report,
3,Mon,2026-08-31,21:30,Beşiktaş,6–2,Yeni Çorumspor,38037,Tüpraş Stadyumu,Çağdaş Altay,Match Report,
3,Mon,2026-08-31,21:30,Amedspor,2–1,Trabzonspor,906,Diyarbakır Yeni Stadyumu,Atilla Karaoğlan,Match Report,
