Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Galatasaray,4,3,1,0,12,6,6,10,2.5,D W W W,43706.0,Victor Osimhen - 6,Uğurcan Çakır,
2,Beşiktaş,4,3,0,1,9,4,5,9,2.25,W L W W,34483.0,Dušan Vlahović - 4,Alexander Nübel,
3,Kocaelispor,4,3,0,1,5,3,2,9,2.25,L W W W,11827.0,"Massadio Haïdara, Florian Ayé... - 1",Serhat Öztaşdelen,
4,Trabzonspor,4,2,1,1,9,4,5,7,1.75,D W L W,34821.0,Mohamed Salah - 4,André Onana,
5,Amedspor,4,2,1,1,7,5,2,7,1.75,W L W D,906.0,Gift Orban - 3,Alban Lafont,
6,Gaziantep,4,2,1,1,7,5,2,7,1.75,D W L W,,"Deian Sorescu, Kacper Kozłowski - 2",Kacper Tobiasz,
7,Alanyaspor,4,2,1,1,4,3,1,7,1.75,D W L W,,"Nuno Lima, Arda Usluoğlu... - 1",Paulo Victor Vidotti,
8,Gençlerbirliği,4,2,1,1,4,7,-3,7,1.75,W W D L,15171.0,"Adama Traoré, Sekou Koita... - 1",İrfan Can Eğribayat,
9,Fenerbahçe,4,2,0,2,8,6,2,6,1.5,L W W L,,"Vedat Muriqi, Mason Greenwood - 2",Ederson Moraes,
10,Kasımpaşa,4,1,3,0,5,4,1,6,1.5,D W D D,,Adrian Benedyczak - 3,Andreas Gianniotis,
11,Rizespor,4,2,0,2,3,4,-1,6,1.5,W L W L,,"Ali Sowe, Qazim Laçi... - 1",Yahia Fofana,
12,Başakşehir,4,1,1,2,6,6,0,4,1.0,W L D L,,Eldor Shomurodov - 4,Muhammed Şengezer,
13,Samsunspor,4,1,1,2,5,6,-1,4,1.0,D W L L,12794.0,"Marius Mouandilmadji, Celil Yüksel... - 1",Okan Kocuk,
14,Yeni Çorumspor,4,1,1,2,7,9,-2,4,1.0,D L L W,,"Alexandros Kyziridis, Ermin Mahmić - 2",Marcos Felipe,
15,Erzurum BB,4,1,1,2,2,8,-6,4,1.0,L L D W,19099.0,Eren Tozlu - 2,"Ertuğrul Taşkıran, Matija Orbanić",
16,Eyüpspor,4,1,0,3,2,6,-4,3,0.75,L L W L,,"Zak Jules, Ahmed Abdullahi - 1",Horaţiu Moldovan,
17,Göztepe,4,0,1,3,7,11,-4,1,0.25,D L L L,,Juan Santos - 3,Luka Gugeshashvili,
18,Konyaspor,4,0,0,4,3,8,-5,0,0.0,L L L L,,"Deniz Turuc, Ebrima Colley - 1",Deniz Ertaş,
